# poncelet — BallProfile table (docs/ballistics-phase-plan.md §3.2 / §4).
#
# Each sports ball / thrown rock is a *named* aerodynamic profile, not a generic
# sphere: its own Cd curve (with the drag crisis where that ball's surface
# actually puts it), its own signed Cl(spin parameter S = |w|r/|v|) Magnus curve,
# and a shape tag. `SportsBall` / `Rock` types pick one by id via
# ProjectileType::ball_profile.
#
# Columns
#   shape       Sphere | ProlateSpheroid | Disc
#   abscissa    Reynolds (spheres) | Mach (spheroid / disc)
#   cd_curve    "x:cd|x:cd|..."  (x is Re or Mach per `abscissa`)
#   cl_curve    "S:cl|S:cl|..."  signed; empty => no Magnus
#   cd_spiral / cd_tumble   ProlateSpheroid only: the Cd endpoints the
#               axis-to-airflow-angle model blends between
#   spin_radius_m   r in S; sphere => diameter/2
#
# Curve shapes from Mehta & Pallis (Sports ball aerodynamics, TMS 2001),
# Kensrud (Aerodynamic properties of sports balls in situ), and Goff & Carre
# on the panelled-football negative-Magnus regime. Seed magnitudes; the drag-
# crisis Reynolds numbers are the paper values.
id,shape,diameter_m,mass_kg,typical_speed_mps,abscissa,cd_curve,cl_curve,cd_spiral,cd_tumble,spin_radius_m
fifa_football,Sphere,0.220,0.430,28.0,Reynolds,0:0.48|1.0e5:0.45|2.2e5:0.30|3.0e5:0.16|5.0e5:0.15|1.5e6:0.16,0.00:0.00|0.02:-0.02|0.05:-0.01|0.10:0.10|0.20:0.23|0.30:0.28|0.50:0.30,0,0,0.110
baseball,Sphere,0.073,0.145,40.0,Reynolds,0:0.50|8.0e4:0.48|1.2e5:0.38|2.0e5:0.34|4.0e5:0.33|1.5e6:0.35,0.00:0.00|0.05:0.05|0.10:0.12|0.20:0.22|0.30:0.28|0.50:0.33,0,0,0.0365
cricket_ball,Sphere,0.072,0.160,35.0,Reynolds,0:0.50|7.0e4:0.47|1.1e5:0.42|2.0e5:0.40|1.5e6:0.40,0.00:0.00|0.10:0.08|0.30:0.18|0.50:0.22,0,0,0.036
tennis_ball,Sphere,0.067,0.057,45.0,Reynolds,0:0.65|1.0e5:0.62|1.5e6:0.58,0.00:0.00|0.05:0.05|0.10:0.12|0.20:0.22|0.30:0.28|0.50:0.33,0,0,0.0335
golf_ball,Sphere,0.0427,0.0459,70.0,Reynolds,0:0.55|2.0e4:0.52|4.0e4:0.40|7.0e4:0.26|2.0e5:0.24|1.5e6:0.26,0.00:0.00|0.05:0.05|0.10:0.12|0.20:0.22|0.30:0.28|0.50:0.33,0,0,0.02135
basketball,Sphere,0.240,0.620,9.0,Reynolds,0:0.54|1.5e6:0.54,0.00:0.00|0.10:0.05|0.30:0.12|0.50:0.15,0,0,0.120
volleyball,Sphere,0.210,0.270,22.0,Reynolds,0:0.50|1.6e5:0.45|2.0e5:0.25|4.0e5:0.22|1.5e6:0.25,0.00:0.00|0.10:0.05|0.30:0.12|0.50:0.15,0,0,0.105
field_hockey_ball,Sphere,0.073,0.160,35.0,Reynolds,0:0.50|1.5e6:0.45,0.00:0.00|0.10:0.05|0.30:0.12|0.50:0.15,0,0,0.0365
rock,Sphere,0.060,0.200,22.0,Reynolds,0:0.50|1.5e6:0.50,,0,0,0.030
american_football,ProlateSpheroid,0.280,0.410,24.0,Mach,0.0:0.06|1.0:0.06,0.0:0.00|0.5:0.05,0.06,0.42,0.084
rugby_ball,ProlateSpheroid,0.300,0.435,23.0,Mach,0.0:0.07|1.0:0.07,0.0:0.00|0.5:0.04,0.07,0.44,0.090
ice_hockey_puck,Disc,0.076,0.165,45.0,Mach,0.0:1.10|1.0:1.10,,0,0,0.038
